NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience negative?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21597071	11.06.2022 19:59	11.06.2022 19:59	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5bc63a7e186a6500016a127d	Handshake		Acquaintance		We both took the initiative	Greeting	Unclean hand	...	3	4	7	5	2	8	5		7		7	shaking hands in a car park	Not at all	Not at all	Moderately	A little	A little	Quite a bit	Quite a bit	Moderately	Moderately	Not at all	Not at all	Not at all	Moderately	Quite a bit	Quite a bit	Very much	Not at all	Moderately	Quite a bit	Not at all	Not at all	A little	Quite a bit	Quite a bit	Quite a bit	Moderately	Not at all	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Moderately (3)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	34	Male		4 minutes 29 seconds
21597075	11.06.2022 20:00	11.06.2022 20:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6116485fa79455cc4795b35f	Handshake		Friend		We both took the initiative	Greeting	No	.	5	7	6	7	3	7	3		8		7	After sports game	Quite a bit	A little	Moderately	A little	Quite a bit	Moderately	Moderately	Moderately	A little	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Very much	Moderately	Quite a bit	Quite a bit	Very much	Very much	Moderately	A little	Moderately	Moderately	Quite a bit	Quite a bit	Moderately	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	22	Male		4 minutes 47 seconds
21597080	11.06.2022 20:01	11.06.2022 20:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a4a96a714f8db646dea5d4	Hand on the shoulder		Acquaintance		The interaction partner mainly took the initiative	Greeting	It was unwanted	.	3	3	8	2	2	8	7		8		2	Standing on a street	A little	A little	Not at all	Not at all	Moderately	Moderately	A little	A little	A little	Not at all	A little	A little	Not at all	Moderately	Quite a bit	Moderately	Not at all	A little	A little	Moderately	A little	A little	A little	Moderately	Not at all	A little	Not at all	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	24	Male		6 minutes 30 seconds
21597082	11.06.2022 20:01	11.06.2022 20:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5eb07ff31f18d011f10fae9d		Hand on my upper arm. Gently squeezed.	Colleague		The interaction partner mainly took the initiative	Flirtation	It was from a colleague while on duty. I felt uncomfortable as sexual acts on shift risks my job and the affection wasn't wanted.	.	8	3	4	2	3	2	10		4		1	Sitting in a car. Myself in driver seat. Partner in passenger seat.	Not at all	A little	Not at all	Not at all	Moderately	Not at all	A little	Moderately	A little	Not at all	Moderately	A little	Not at all	Moderately	A little	A little	A little	Moderately	Moderately	A little	A little	Moderately	Not at all	Not at all	Not at all	A little	A little	A little (2)	Quite a bit (4)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	27	Male		11 minutes 13 seconds
21597083	11.06.2022 20:01	11.06.2022 20:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f7cca7022f65316cfa16574	Hug		Colleague		The interaction partner mainly took the initiative	to shake hands and say hello	The other person gripped my hand too hard and too long	.	1	2	10	1	8	2	10		5		0	An old colleague who did not like me cam in to my work site and said hello to me and shuck my hand. I suppose he was trying to show dominance by squeezing my hand and not letting go but I said in a loud voice 'why are you trying to hurt my hand? we are not friends'. He let go before I got angry	A little	Not at all	Moderately	Not at all	Moderately	Quite a bit	Quite a bit	Quite a bit	A little	Not at all	Not at all	Quite a bit	Moderately	Moderately	Not at all	Quite a bit	Not at all	A little	Not at all	Not at all	Quite a bit	Not at all	Quite a bit	A little	A little	Moderately	A little	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	54	Male		12 minutes 17 seconds
21597084	11.06.2022 20:01	11.06.2022 20:01	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6128a3db67305ef94021fcd7	Handshake		Stranger		The interaction partner mainly took the initiative	A friendly gesture	It was unwanted on my behalf.	..	4	8	7	7	7	4	6	Not applicable	6		3	In the bathroom at a supermarket	Quite a bit	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	A little	A little	Moderately	A little	A little	Quite a bit	A little	Quite a bit	Moderately	Moderately	Moderately	Moderately	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	28	Male		10 minutes 21 seconds
21597087	11.06.2022 20:02	11.06.2022 20:02	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	56e20623ec0fdd000b41cef4	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	To dance	Didn't know them	.	2	2	6	2	6	2	6	Not applicable	2		1	In a club on the dancefloor	Not at all	Moderately	Not at all	A little	A little	Moderately	Moderately	Moderately	A little	A little	Moderately	Moderately	A little	Moderately	Quite a bit	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Moderately	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	A little (2)	24	Male		7 minutes 22 seconds
21597093	11.06.2022 20:03	11.06.2022 20:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e224693c5b1b45273cfecd9	Handshake		Colleague		The interaction partner mainly took the initiative	To show a sign of no malice between us	Because I really dislike this person	.	5	8	10	7	6	2	1	Not applicable		Not applicable	5	When walking into the entrance of the company's head office	Quite a bit	A little	Very much	Not at all	Not at all	Very much	Very much	Moderately	Very much	Moderately	Moderately	Moderately	A little	Quite a bit	Moderately	Quite a bit	Moderately	Very much	A little	A little	Quite a bit	Moderately	Quite a bit	Very much	Moderately	Very much	Very much	A little (2)	Extremely (5)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	A little (2)	Extremely (5)	Extremely (5)	A little (2)	Not at all (1)	Not at all (1)	38	Male		7 minutes 46 seconds
21597095	11.06.2022 20:03	11.06.2022 20:03	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a37c8d76ad76178bff9954	Hug		Family member		The interaction partner mainly took the initiative	To display affection.	There is a poor relationship. It felt disengenuine and cold.	..	5	5	7	3	6	6	10		4		3	Standing up, in the door of my parent's house.	Not at all	Not at all	A little	Not at all	Quite a bit	Not at all	Moderately	A little	A little	Not at all	Not at all	Not at all	A little	A little	A little	Not at all	Not at all	Very much	Quite a bit	Not at all	A little	Not at all	A little	Quite a bit	Moderately	Not at all	A little	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Moderately (3)	A little (2)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	19	Male		9 minutes 31 seconds
21597099	11.06.2022 20:04	11.06.2022 20:04	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	59b193aff69f3400018671ba	Kiss		Acquaintance		The interaction partner mainly took the initiative	A joke	Inapropiate at work	.	9	9	9	9	2	2	1	Not applicable	1	Not applicable	0	at work in the office	A little	A little	Not at all	Not at all	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Not at all	Moderately	Moderately	A little	Quite a bit	Very much	Quite a bit	A little	A little	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	A little	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	52	Male		7 minutes 33 seconds
21597100	11.06.2022 20:05	11.06.2022 20:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	602bd3de73ddaf3a956675b4	Kiss		Partner		The interaction partner mainly took the initiative	Affection	I was busy at the time	.....	8	6	7	6	8	8	6	Not applicable	2		0	While sitting on the sofa. I was completing a work assignment on my laptop	Quite a bit	Not at all	Not at all	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Moderately	Not at all	A little	Very much	Moderately	Moderately	Quite a bit	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	A little	Quite a bit	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Extremely (5)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	37	Male		9 minutes 10 seconds
21597108	11.06.2022 20:07	11.06.2022 20:07	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	605a740e311145a360bc8714	Kiss		Partner		The interaction partner mainly took the initiative	we were having an argument and just with lothsome we shake each other hands	because we ended our arguments with the hand shake	....	4	2	4	2	8	3	5		2		2	in our bed room	Moderately	Moderately	Moderately	Moderately	Quite a bit	A little	Moderately	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Extremely (5)	A little (2)	A little (2)	Not at all (1)	A little (2)	Extremely (5)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	34	Male		12 minutes 40 seconds
21597116	11.06.2022 20:10	11.06.2022 20:10	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e6e0ba33c76d23b3521aeac	Handshake		Colleague		I mainly took the initiative	Friendship	It was short and not as intended	.	6	9	10	10	10	10	6	Not applicable		Not applicable	10	at work in a corridor	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	34	Male	Male	3 minutes 18 seconds
21597117	11.06.2022 20:10	11.06.2022 20:10	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6234c59765c815abbc665078	Handshake		Colleague		We both took the initiative	A greeting	I've never really liked handshakes, they seem so conventionalised and perfunctory as to be pointless. But at the same time an overly intimate thing to be doing with people who are often strangers. And since covid and our collective preoccupation with hand washing etc. it really does seem an odd thing to be doing. There's also this idea that some people think they can make meaningful judgements of another based on their handshake which is more or less nonsense (it's not going to tell you anything a couple of minutes in their company won't tell you) which makes the experience a bit anxiety inducing. And i often get clammy hands, as in this case, which I don't want to be sharing with others.	.	4	4	8	3	2	8	3		7		9	In an office, initially sitting but standing up for the handshake	A little	A little	Not at all	Not at all	Moderately	Not at all	A little	A little	A little	Not at all	Quite a bit	A little	Not at all	A little	A little	Not at all	A little	A little	Moderately	A little	Moderately	Moderately	A little	A little	Not at all	Not at all	A little	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	32	Male		14 minutes 52 seconds
21597122	11.06.2022 20:11	11.06.2022 20:11	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	596cb7a35ad3920001cae434	Handshake		Stranger		The interaction partner mainly took the initiative	Greeting	Made me feel awkward, uncomfortable, self-conscious, overly aware of myself and my behaviour	.	5	4	3	3	1	10	9		8		10	Meeting strangers at an event held in a church	Not at all	Very much	Not at all	A little	Not at all	Not at all	Moderately	A little	Not at all	Not at all	Not at all	Moderately	Moderately	Not at all	Not at all	Not at all	Not at all	A little	A little	Moderately	A little	Not at all	Not at all	Moderately	A little	Not at all	A little	Moderately (3)	A little (2)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Quite a bit (4)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Quite a bit (4)	23	Male		21 minutes 55 seconds
21597138	11.06.2022 20:17	11.06.2022 20:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c6f2abd52091a0001b96522	Hand on the shoulder		Family member		The interaction partner mainly took the initiative	to appear friendly	The person who put their arm around my shoulder had just spoken to me in a negative, dismissive manner	...	4	3	3	8	6	2	2		2		2	standing in my garden with other family members	A little	Not at all	Not at all	Not at all	Moderately	Not at all	Very much	Moderately	A little	Not at all	Not at all	Moderately	Not at all	A little	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	A little	Moderately	Moderately	Not at all	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Not at all (1)	Not at all (1)	63	Female		9 minutes 11 seconds
21597218	11.06.2022 20:40	11.06.2022 20:40	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60aa79fa99f7d53701b02256	Caress		Acquaintance	Was actually a member of staff at one of my children's schools	The interaction partner mainly took the initiative	Possibly to comfort	Was annoyed at what had been said	..	5	3	3	2	5	4	1	Not applicable		Not applicable	3	At a meeting taking place at the school with 2 other members of staff. Got upset	Moderately	Not at all	Not at all	A little	Not at all	A little	Moderately	A little	A little	Not at all	Not at all	Moderately	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Moderately	A little	A little	Not at all	Not at all	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	A little (2)	Not at all (1)	A little (2)	26	Female		10 minutes 19 seconds
21597241	11.06.2022 20:44	11.06.2022 20:44	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	628b98cbfe1abe15dc8853f4	Caress		Stranger		The interaction partner mainly took the initiative	Unsure	I was unwanted	.	9	1	4	1	5	1	8		2		1	In a club at the bar	Not at all	Not at all	Not at all	Not at all	Very much	Quite a bit	Very much	Quite a bit	Quite a bit	Not at all	Not at all	Not at all	Not at all	Quite a bit	Very much	A little	Not at all	Very much	Quite a bit	Not at all	A little	A little	A little	Moderately	Moderately	Moderately	Not at all	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	A little (2)	Extremely (5)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Extremely (5)	A little (2)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Extremely (5)	24	Female		5 minutes 14 seconds
21597246	11.06.2022 20:46	11.06.2022 20:46	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f262b3018c68e27aebdd170	Hand on the shoulder		Stranger		The interaction partner mainly took the initiative	They were talking to me	It was prolonged and I felt awkward	.	7	4	6	3	7	4	6		4		3	It occurred at a networking event	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit (4)	Moderately (3)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	Moderately (3)	Quite a bit (4)	Moderately (3)	Moderately (3)	Moderately (3)	A little (2)	Quite a bit (4)	Moderately (3)	Quite a bit (4)	Quite a bit (4)	A little (2)	Moderately (3)	Moderately (3)	26	Female	F	5 minutes 38 seconds
21597267	11.06.2022 20:52	11.06.2022 20:52	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62682277645054f5802459b8	Hand on the shoulder		Colleague		The interaction partner mainly took the initiative	comfort	I was about to lose my job!	.	8	6	7	6	2	5	7	Not applicable	4		4	In an office I was about to be made redundant!	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all (1)	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Not at all (1)	Moderately (3)	A little (2)	A little (2)	Quite a bit (4)	A little (2)	Moderately (3)	56	Male		6 minutes 54 seconds
21597284	11.06.2022 21:00	11.06.2022 21:00	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6154918f83e8ca861b23ea04		hand on my waist	Stranger		The interaction partner mainly took the initiative	to get around me as i was in his way	i felt he did not need to touch me; he should have asked me to move	.	8	4	8	2	9	1	1	Not applicable	2		0	It was in the supermarket as I was waiting in the queue	Moderately	Not at all	Not at all	Not at all	Moderately	Not at all	Moderately	A little	A little	Not at all	Not at all	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Moderately	Not at all	A little	Not at all	Not at all	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	A little (2)	Extremely (5)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	52	Female		14 minutes 22 seconds
21603210	12.06.2022 14:16	12.06.2022 14:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5872d1aaa205a90001e7f3a4	Hug		Colleague		I mainly took the initiative	formal way of saying hello	no	....	7	5	6	5	4	4	4		3		3	workplace	A little	Moderately	A little	A little	A little	Moderately	A little	A little	Moderately	Moderately	Moderately	A little	Quite a bit	Moderately	Moderately	Moderately	A little	A little	A little	Moderately	Moderately	A little	Quite a bit	Moderately	A little	A little	A little	Moderately (3)	A little (2)	A little (2)	Moderately (3)	A little (2)	A little (2)	A little (2)	Moderately (3)	A little (2)	A little (2)	Moderately (3)	Quite a bit (4)	Moderately (3)	Moderately (3)	A little (2)	A little (2)	A little (2)	Moderately (3)	A little (2)	A little (2)	45	Male		3 minutes 38 seconds
21603214	12.06.2022 14:16	12.06.2022 14:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e8592a92c33ae18079ebf68	Caress		Stranger		The interaction partner mainly took the initiative	To make contact	Made me uncomfortable	.	8	3	4	2	4	5	9		4		1	Sat in an auditorium listening to a seminar	Not at all	Moderately	Not at all	Not at all	A little	Moderately	A little	Quite a bit	A little	A little	Moderately	A little	A little	Quite a bit	Quite a bit	Moderately	A little	Moderately	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	Quite a bit	Moderately	Moderately	A little	Not at all (1)	A little (2)	A little (2)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Moderately (3)	Not at all (1)	A little (2)	Moderately (3)	A little (2)	Moderately (3)	A little (2)	A little (2)	45	Male	Male	3 minutes 50 seconds
21603215	12.06.2022 14:16	12.06.2022 14:16	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5552121afdf99b74d81d09ef	Kiss		Friend		The interaction partner mainly took the initiative	The friend assumed that I would be amenable to a romantic kiss.	I am only open to being friends.	......	10	8	7	1	1	1	6	Not applicable	8		0	Train station as I was ready to head home.	Moderately	Quite a bit	Very much	Not at all	Quite a bit	Quite a bit	Very much	Very much	Very much	Very much	Not at all	Not at all	Not at all	Moderately	Very much	Not at all	Moderately	Very much	Very much	Quite a bit	A little	Moderately	Very much	Very much	Very much	Very much	Very much	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	37	Male		4 minutes 9 seconds
21603219	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ee64d0bf796cb3b252a8c99	Caress		Partner		The interaction partner mainly took the initiative	to comfort pain	i feel negatively towards my partner generally	..	5	3	4	4	2	7	7		6		4	standing in the kitchen by the oven	Quite a bit	Moderately	A little	A little	Moderately	A little	A little	A little	Quite a bit	A little	A little	A little	Not at all	Moderately	A little	Not at all	A little	A little	Quite a bit	A little	Moderately	Moderately	Moderately	A little	Moderately	A little	Moderately	A little (2)	Quite a bit (4)	A little (2)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Quite a bit (4)	A little (2)	A little (2)	Extremely (5)	A little (2)	A little (2)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	57	Female		4 minutes 30 seconds
21603222	12.06.2022 14:17	12.06.2022 14:17	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5e35c2d04de45156d0c95d3f		push	Family member		The interaction partner mainly took the initiative	alienation	it was rejective	.....	3	2	9	3	2	6	9	Not applicable	8		2	standing in the kitchen	A little	A little	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Very much	Not at all	A little	A little	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	Not at all	A little	Not at all	Moderately	Moderately	Not at all	Not at all	Moderately	Moderately (3)	Quite a bit (4)	Not at all (1)	Extremely (5)	A little (2)	Moderately (3)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	Quite a bit (4)	A little (2)	Not at all (1)	55	Female		4 minutes 54 seconds
