NR	Created	Modified		What is your Prolific ID?	Please indicate the type of touch you received by selecting the corresponding field, or by entering an alternative answer.	Other (please specify)	Who was the interaction partner in this touch experience?	Other (please specify)	Who took the initiative?	What was the (presumed) intention of the touch?	Why was the touch experience positive?	Click the picture that best describes your current relationship with the interaction partner (i.e., other).												Using your own words, give a short description of the location and situation in which the touch occurred (e.g., “sitting on a bench in the bus”):	That I was successfully completing difficult tasks and projects.	That I was experiencing new sensations and activities.	A sense of contact with people who care for me, and whom I care for.	That I was &#34;becoming who I really am.&#34;	That my life was structured and predictable.	That I was a person whose advice others seek out and follow.	That my choices were based on my true interests and values.	That I had many positive qualities.	Close and connected with other people who are important to me.	Intense physical pleasure and enjoyment.	That I got enough exercise and was in excellent physical condition.	That I was taking on and mastering hard challenges.	A sense of deeper purpose in life.	Glad that I have a comfortable set of routines and habits.	A strong sense of self-respect.	That I strongly influenced others&#39; beliefs and behavior.	That my body was getting just what it needed.	Free to do things my own way.	Quite satisfied with who I am.	That I had found new sources and types of stimulation for myself.	Safe from threats and uncertainties.	A strong sense of physical well-being.	Very capable in what I did.	That my choices expressed my &#34;true self.&#34;	A deeper understanding of myself and my place in the universe.	That I had strong impact on what other people did.	A strong sense of intimacy with the people I spent time with.	Interested	Distressed	Excited	Upset	Strong	Guilty	Scared	Hostile	Enthusiastic	Proud	Irritable	Alert	Ashamed	Inspired	Nervous	Determined	Attentive	Jittery	Active	Afraid	Age:	Gender:	Gender (if you prefer to type):	Elapsed time
21567008	09.06.2022 15:39	09.06.2022 15:39	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fdb6deeb6ce936b64abd717	Hug		Family member		I mainly took the initiative	to show care	it made the partner feel positive	......	8	8	9	9	8	9	5	Not applicable	6		8	sitting on a sofa at home	A little	A little	Quite a bit	Very much	Very much	Very much	Quite a bit	Very much	Very much	Moderately	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Very much	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Very much	Very much	Very much	Very much	Quite a bit (4)	Quite a bit (4)	Moderately (3)	A little (2)	Extremely (5)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Extremely (5)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	38	Male		12 minutes 27 seconds
21568082	09.06.2022 16:34	09.06.2022 16:34	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f1636568f0a801a56474836	Kiss		Partner		We both took the initiative	Affection	It made me feel wanted and warm and fuzzy on my skin.	.....	10	9	3	10	2	6	4		2		8	We were in a shop and pecked each other on the lips.	Quite a bit	A little	Very much	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Very much	A little	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	Very much	Moderately	Quite a bit	Moderately	A little	Moderately	Very much	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Moderately (3)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	20	Male		3 minutes 46 seconds
21568381	09.06.2022 16:46	09.06.2022 16:46	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5fd64479bf40a251701159d6	Hug		Partner		We both took the initiative	Make us happy	Love	......	10	10	8	10	4	10	10		5		6	Hugging as wife cooking my tea	Very much	Not at all	Very much	Very much	Very much	A little	Quite a bit	Quite a bit	Very much	Quite a bit	Moderately	Quite a bit	Very much	Very much	Quite a bit	Quite a bit	Moderately	Very much	Very much	A little	Quite a bit	Moderately	Very much	Very much	Very much	Very much	Quite a bit	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Extremely (5)	Not at all (1)	Moderately (3)	A little (2)	51	Male		5 minutes 55 seconds
21568384	09.06.2022 16:47	09.06.2022 16:47	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ea9f6b340571b17901e6949	Caress		Friend		The interaction partner mainly took the initiative	reassurance and support	it was needed in the moment and expressed how much love and support she had for me without words	.....	8	9	6	9	7	9	9	Not applicable	2		6	at a table, opposite one another in a cafe	Not at all	Not at all	Very much	Not at all	Not at all	A little	Not at all	Moderately	Very much	A little	Not at all	A little	A little	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all (1)	A little (2)	Not at all (1)	A little (2)	A little (2)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	30	Female		7 minutes 13 seconds
21568496	09.06.2022 16:54	09.06.2022 16:54	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	628b9b305c3b4afa3f241701	Handshake		Acquaintance		The interaction partner mainly took the initiative	Too say thank you	Because it was the first time the person in question ever opened up to me.	.	4	6	8	6	6	7	5		4		2	I was outside an elderly neighbours house talking to him when he shook my hand and thanked me for helping him and apologising for seeming rude	Moderately	A little	Moderately	Not at all	A little	Moderately	Quite a bit	Moderately	A little	Moderately	A little	A little	Not at all	Quite a bit	Moderately	A little	A little	Not at all	A little	Moderately	Moderately	A little	Moderately	Moderately	Moderately	Moderately	Moderately	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	36	Male		9 minutes 6 seconds
21568654	09.06.2022 17:05	09.06.2022 17:05	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62a1e98aa066554d8ab25308	Handshake		Friend		We both took the initiative	Greeting	I met my friend after almost 10 years	.	6	10	7	9	9	8	9		5		8	Train Station - waiting for the next train	Moderately	Not at all	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Not at all	Moderately	Moderately	Quite a bit	Moderately	Moderately	Moderately	A little	Moderately	Moderately	A little	Moderately	A little	Quite a bit	Moderately	Quite a bit	Quite a bit	Not at all	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	44	Male		1 hour 52 minutes 15 seconds
21602357	12.06.2022 12:54	12.06.2022 12:54	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c9a863ab545520001fba956	Hug		Family member		I mainly took the initiative	CARE	CUDDLING MY CHILDREN	.	5	5	5	5	4	8	6	Not applicable		Not applicable	9	At home	Not at all	Not at all	Very much	Not at all	A little	Very much	Not at all	Not at all	Very much	Not at all	Not at all	Not at all	Not at all	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	A little	Not at all	A little	A little	Not at all	Moderately	Moderately (3)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	40	Female		3 minutes 48 seconds
21602360	12.06.2022 12:54	12.06.2022 12:54	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5ebe59309264f81ae5a87a30	Hug		Family member		The interaction partner mainly took the initiative	reassurance	it gave reassurance	.....	9	10	6	10	7	9	7		4		6	standing in my kitchen	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit (4)	A little (2)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	A little (2)	Quite a bit (4)	Quite a bit (4)	Moderately (3)	Extremely (5)	A little (2)	22	Female		3 minutes 52 seconds
21602361	12.06.2022 12:54	12.06.2022 12:54	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5b97a1e083bd380001b92485	Kiss		Partner		We both took the initiative	Greeting	We had not seen each other for an extensive period of time	.....	9	9	7	9	3	8	4		4		8	In my house, by the door as she entered	Not at all	Not at all	Quite a bit	Not at all	A little	Not at all	Moderately	Moderately	Quite a bit	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	A little	Not at all	Not at all	Not at all	Not at all	Quite a bit	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	32	Male		4 minutes 14 seconds
21602366	12.06.2022 12:55	12.06.2022 12:55	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	613fb7b55c6b448b10303169	Hug		Partner		We both took the initiative	To show care	I was having a hard day and this hug made me feel like everything was going to be okay	......	9	10	7	10	7	10	7		3		3	In my office room whilst at my desk	Quite a bit	A little	Very much	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Very much	A little	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Very much	Moderately	Moderately	Moderately	Very much	Very much	Quite a bit	Quite a bit	A little	Quite a bit	Very much	Quite a bit (4)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	A little (2)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	26	Female		4 minutes 21 seconds
21602372	12.06.2022 12:55	12.06.2022 12:55	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	61477227d816392b3ef44b43	Hug		Partner		The interaction partner mainly took the initiative	To give comfort	It made me feel safe and happy	......	8	9	7	10	7	10	5	Not applicable		Not applicable	4	In the living room of our flat, stood up.	Not at all	A little	Very much	Not at all	Not at all	Not at all	Not at all	Moderately	Very much	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Very much	Moderately	Quite a bit	Not at all	Very much	Very much	A little	Moderately	Very much	Very much	Very much	Extremely (5)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	28	Female		4 minutes 51 seconds
21602373	12.06.2022 12:55	12.06.2022 12:55	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d459cd66f084f00151bd226	Hug		Friend		I mainly took the initiative	To show that we care for each other	Because it is a nice greeting	...	8	9	8	8	4	10	10		7		10	I was at a pub, standing with a pint.	Not at all	A little	A little	A little	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	A little	Moderately	Moderately	Moderately	Quite a bit	Moderately	A little	A little	Moderately	A little	Moderately	Moderately	Moderately	Moderately	A little	Moderately	Moderately	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Quite a bit (4)	Not at all (1)	Quite a bit (4)	Not at all (1)	24	Male		5 minutes 31 seconds
21602379	12.06.2022 12:55	12.06.2022 12:55	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	629613cf55e5738877af0e3a	Handshake		Acquaintance		We both took the initiative	Friendly greeting	It's been such a long time since handshakes were the norm.	.	5	6	6	7	2	7	7		7		9	At a work meeting	Not at all	Very much	Quite a bit	Quite a bit	Very much	Very much	Very much	Quite a bit	Very much	A little	Moderately	Quite a bit	Quite a bit	Very much	Very much	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	A little	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Quite a bit (4)	Extremely (5)	Extremely (5)	A little (2)	Moderately (3)	Not at all (1)	29	Male		5 minutes 36 seconds
21602380	12.06.2022 12:55	12.06.2022 12:55	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6026fab330d2074783b7e1ab	Hug		Partner		We both took the initiative	Greeting	My partner had been working away for 2 days and it was nice to have him back	......	7	7	8	10	6	8	8	Not applicable		Not applicable	9	In my living room	Not at all	Not at all	Very much	A little	A little	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Quite a bit	Quite a bit	Moderately	Quite a bit	Quite a bit	Quite a bit	Not at all	Quite a bit	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Quite a bit (4)	Not at all (1)	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	31	Female		5 minutes 10 seconds
21602381	12.06.2022 12:56	12.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	61502d07ecd698ba8d28a36d	Hug		Friend		We both took the initiative	Just for everyday interaction	There's no bad blood between us	...	8	8	6	8	6	8	6	Not applicable	4		8	Before leaving the house	A little	Quite a bit	Quite a bit	A little	A little	Moderately	Moderately	Moderately	A little	Not at all	A little	A little	Moderately	Moderately	Moderately	Moderately	Moderately	Moderately	Quite a bit	A little	Quite a bit	Moderately	Quite a bit	Moderately	Moderately	Moderately	Moderately	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	Moderately (3)	Not at all (1)	24	Male		5 minutes 13 seconds
21602383	12.06.2022 12:56	12.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	6136001fcd0e07e6f5f66bc1	Hug		Partner		The interaction partner mainly took the initiative	Love	We love each other	.....	10	10	8	9	4	8	5	Not applicable		Not applicable	6	In our flat in the living room	Not at all	Not at all	Quite a bit	A little	A little	A little	A little	Moderately	Moderately	Moderately	Moderately	A little	A little	Moderately	Moderately	Not at all	A little	Moderately	Quite a bit	Moderately	Moderately	Moderately	Moderately	Moderately	Quite a bit	A little	A little	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	23	Female	Female	5 minutes 31 seconds
21602384	12.06.2022 12:56	12.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	62850a9d45988f3a749581e0	Hug		Partner		We both took the initiative	Affection	Affectionate and loving	....	9	9	5	9	2	9	6	Not applicable	2		9	Sitting in a car	Not at all	Not at all	Very much	A little	Quite a bit	Not at all	Quite a bit	Very much	Very much	Very much	Not at all	Not at all	Quite a bit	Quite a bit	Quite a bit	Not at all	Very much	Very much	Quite a bit	Not at all	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Not at all	Not at all	Very much	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	28	Male		6 minutes 12 seconds
21602387	12.06.2022 12:56	12.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60fc50b86b35094f5e5cd284	Hug		Friend		The interaction partner mainly took the initiative	Flirty	Yes	.....	10	10	4	9	6	9	5		2		5	Standing outside the front door	Quite a bit	Not at all	Quite a bit	Moderately	A little	A little	Quite a bit	Moderately	Very much	Quite a bit	Moderately	Moderately	A little	Quite a bit	Quite a bit	Not at all	Quite a bit	Very much	Very much	Quite a bit	Moderately	Quite a bit	Quite a bit	Very much	A little	A little	Quite a bit	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	20	Male		5 minutes 49 seconds
21602388	12.06.2022 12:56	12.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5d30559f95d88f0019378e9c	Handshake		Family member		The interaction partner mainly took the initiative	Pride	Yes	.	4	8	9	6	3	10	8		3		0	Outside of a restaurant.	Very much	Not at all	Not at all	Not at all	Moderately	Moderately	Moderately	Quite a bit	A little	Not at all	Not at all	Quite a bit	Not at all	Moderately	A little	Quite a bit	Not at all	Very much	Very much	Not at all	Not at all	Not at all	Quite a bit	Quite a bit	Not at all	Not at all	Moderately	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	38	Male		6 minutes 22 seconds
21602390	12.06.2022 12:56	12.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5c59baa95e09ea00015521d9	Hug		Partner		The interaction partner mainly took the initiative	To cheer me up	Because it made me feel secure and loved	......	9	10	7	10	8	10	10		4		8	Standing in the kitchen in our home	Quite a bit	Quite a bit	Very much	Not at all	Not at all	Moderately	Very much	Quite a bit	Very much	Quite a bit	Moderately	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	Quite a bit	Quite a bit	Quite a bit	Very much	A little	Quite a bit	Quite a bit	Quite a bit	Moderately	Very much	Extremely (5)	A little (2)	A little (2)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	Moderately (3)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	A little (2)	Quite a bit (4)	Quite a bit (4)	A little (2)	Moderately (3)	Not at all (1)	33	Female		6 minutes 53 seconds
21602391	12.06.2022 12:56	12.06.2022 12:56	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5cab22cd68194f001511b2d6	Hug		Partner		The interaction partner mainly took the initiative	Comfort	It made me feel good.	......	8	10	10	10	8	10	10	Not applicable	4		5	I'm the kitchen whilst I was making coffee	Not at all	Not at all	Very much	Moderately	Not at all	Moderately	Quite a bit	Quite a bit	Very much	Very much	Quite a bit	Quite a bit	Moderately	Moderately	Very much	A little	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Quite a bit	Very much	Very much	A little	Not at all	Quite a bit	Extremely (5)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Extremely (5)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	34	Female		5 minutes 32 seconds
21602392	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	60c9ab402f1c532d26288def	Hug		Family member		The interaction partner mainly took the initiative	just to say i love you	yes	......	9	10	8	9	7	10	5	Not applicable		Not applicable	2	home on sofa	Not at all	A little	Very much	A little	A little	A little	Moderately	Quite a bit	Quite a bit	Moderately	Not at all	Moderately	A little	A little	Moderately	Not at all	Not at all	Not at all	A little	Not at all	A little	A little	Not at all	Not at all	Not at all	Not at all	A little	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	38	Male		6 minutes 33 seconds
21602393	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	543e85adfdf99b7356902e90	Hug		Partner		We both took the initiative	celebration, congratulation	we were sharing our joy at something very personal	......	8	9	9	10	5	10	9		6		8	sitting on my sofa at home	Very much	Quite a bit	Very much	Quite a bit	A little	Not at all	Quite a bit	Quite a bit	Very much	A little	A little	Very much	Moderately	Moderately	Quite a bit	A little	Quite a bit	Moderately	Quite a bit	Quite a bit	Moderately	Moderately	Moderately	Quite a bit	Moderately	Not at all	Quite a bit	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Not at all (1)	Not at all (1)	Not at all (1)	Quite a bit (4)	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Not at all (1)	Moderately (3)	Quite a bit (4)	Not at all (1)	A little (2)	Not at all (1)	49	Male		7 minutes 22 seconds
21602394	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f58ad1de350f30278169535	Handshake		Family member		We both took the initiative	A sign of respect and affection	It was a welcome gesture in a posituve context (saying farewell after a pleasuable family event	....	6	5	7	1	4	10	10	Not applicable	5	Not applicable	10	Outside my house	Not at all	Not at all	Moderately	Not at all	Quite a bit	Quite a bit	Moderately	Moderately	Quite a bit	Not at all	Not at all	Not at all	Not at all	Not at all	A little	Not at all	Not at all	Moderately	Moderately	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Moderately (3)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Moderately (3)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	63	Male		6 minutes 49 seconds
21602396	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5f6c423e8071b21b35b07ea6	Hug		Partner		The interaction partner mainly took the initiative	to show love and affection	Felt good to be loved	......	9	10	9	10	3	10	10			Not applicable	5	in the kitchen	Not at all	Not at all	Very much	Not at all	Not at all	Not at all	Not at all	Quite a bit	Very much	A little	Not at all	Not at all	Not at all	Quite a bit	Quite a bit	Quite a bit	Not at all	Not at all	Not at all	Not at all	Moderately	Not at all	Quite a bit	Very much	Not at all	A little	Very much	Quite a bit (4)	Not at all (1)	Moderately (3)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	A little (2)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	Not at all (1)	A little (2)	Not at all (1)	Not at all (1)	Not at all (1)	63	Female		6 minutes 40 seconds
21602397	12.06.2022 12:57	12.06.2022 12:57	I have received and understood information about the study &#34;The role of need fulfilment for touch experience&#34; and have had the opportunity to ask questions via e-mail. I consent to participate in the study.	5987030cfd8cca00015cbc26	Hug		Friend		We both took the initiative	just to say we care and love each other	yes	......	9	10	2	4	10	10	1	Not applicable	0		0	on a balcony in Portugal	Not at all	Quite a bit	Very much	Very much	Not at all	A little	Very much	A little	Very much	Very much	Not at all	Not at all	Not at all	A little	A little	Not at all	Very much	Very much	A little	Very much	Very much	Moderately	Quite a bit	Very much	Very much	Very much	Very much	Extremely (5)	Not at all (1)	Quite a bit (4)	Not at all (1)	Moderately (3)	Moderately (3)	A little (2)	Not at all (1)	Extremely (5)	Extremely (5)	Not at all (1)	Quite a bit (4)	A little (2)	Extremely (5)	Quite a bit (4)	A little (2)	Extremely (5)	Moderately (3)	A little (2)	Moderately (3)	57	Female		7 minutes 13 seconds
